year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2023	1	1	21.2		6.7		189.0		2.3		46.5		35.8		43.2		100.0		87.6		96.7		42.3		0.02		0.01		40.9		33.0		37.1		38.7		32.2		35.4		40.6		32.3		37.0		44.9		32.1		38.9		ste
2023	1	2	16.6		7.0		64.0		2.7		48.9		41.3		44.7		100.0		91.4		98.1		44.1		0.00		0.01		43.3		37.0		39.9		41.3		35.6		38.0		44.5		36.6		40.4		47.2		37.2		41.8		ste
2023	1	3	30.0		9.5		152.3		2.2		60.8		40.6		52.5		100.0		82.4		97.2		51.6		0.36		0.01		48.2		40.2		43.9		45.1		38.2		41.3		51.5		41.2		46.1		54.8		41.9		48.1		ste
2023	1	4	22.2		9.3		232.5		1.5		40.9		30.6		34.6		96.4		79.4		89.8		31.9		0.00		0.01		47.0		38.3		41.4		44.9		38.6		41.3		48.6		37.2		41.1		44.6		34.2		37.5		ste
2023	1	5	25.0		12.2		251.8		2.2		34.0		29.9		31.5		99.0		88.2		93.6		29.8		0.08		0.01		41.3		36.7		38.7		41.8		37.2		39.1		39.9		34.9		37.1		37.1		32.3		34.3		ste
2023	1	6	22.8		9.0		291.7		5.6		31.1		22.1		27.3		95.6		81.2		88.9		24.4		0.00		0.02		39.8		35.5		37.6		40.1		36.2		38.0		39.0		34.4		36.1		38.5		31.9		33.8		ste
2023	1	7	13.8		5.3		80.7		2.4		32.4		17.4		27.6		94.9		81.7		89.5		24.9		0.00		0.01		38.3		34.2		35.8		38.8		34.9		36.6		37.5		33.6		35.2		34.8		31.2		32.6		ste
2023	1	8	14.4		6.1		156.5		3.8		32.6		22.4		28.5		95.7		84.0		90.5		26.1		0.00		0.02		37.6		33.6		35.3		37.9		34.3		35.9		36.7		33.3		34.8		34.4		31.1		32.5		ste
2023	1	9	18.9		7.6		193.5		9.3		42.9		17.8		30.3		99.0		74.8		91.5		28.0		0.00		0.03		37.5		33.1		35.1		37.5		33.8		35.5		36.4		32.9		34.4		34.1		30.5		32.1		ste
2023	1	10	13.2		5.4		196.6		9.3		49.1		28.5		37.2		99.7		67.0		89.8		34.3		0.00		0.04		41.4		33.7		36.8		39.4		34.2		36.3		40.8		33.0		35.9		43.5		30.8		34.5		ste
2023	1	11	15.8		6.4		169.0		4.8		50.8		34.3		42.1		100.0		74.1		92.5		40.0		0.00		0.03		43.0		35.6		38.8		41.2		35.6		37.9		44.4		34.9		39.1		46.6		32.4		38.9		ste
2023	1	12	27.1		14.3		203.0		1.0		39.8		32.9		37.0		100.0		75.8		91.3		34.7		0.01		0.01		41.1		37.1		39.0		40.9		37.2		38.7		42.1		36.5		39.2		40.1		33.9		37.2		ste
2023	1	13	24.9		13.5		303.9		2.6		33.1		25.5		30.0		98.1		75.5		88.0		26.9		0.05		0.02		40.0		35.1		37.3		40.2		35.8		37.7		39.4		34.7		36.6		37.4		32.0		34.1		ste
2023	1	14	13.9		6.8		232.8		4.1		28.6		22.6		25.3		95.3		76.6		84.5		21.2		0.00		0.02		37.9		33.9		35.5		38.8		34.7		36.3		37.6		33.7		35.4		35.0		31.2		32.9		ste
2023	1	15	29.1		14.6		148.4		8.8		43.2		22.0		32.2		95.2		58.7		79.3		26.2		0.00		0.05		37.0		32.9		34.7		37.7		33.7		35.4		36.8		33.0		34.6		34.1		30.4		32.1		ste
2023	1	16	31.0		16.9		170.0		1.6		50.7		37.1		43.4		98.4		59.0		84.8		38.9		0.17		0.02		42.0		33.9		37.3		40.0		34.2		36.6		43.4		33.0		37.1		45.1		30.8		37.4		ste
2023	1	17	31.6		15.4		265.5		1.9		44.5		35.6		38.7		93.5		84.1		88.9		35.7		0.00		0.02		41.7		37.5		39.2		40.6		37.1		38.6		43.2		37.4		39.9		43.3		35.3		38.4		ste
2023	1	18	30.4		12.1		146.0		2.1		36.9		33.8		35.5		98.2		80.7		89.1		32.6		0.63		0.02		40.6		36.6		38.4		40.4		36.7		38.3		40.5		36.4		38.2		39.4		34.0		36.5		ste
2023	1	19	38.9		16.5		222.3		1.9		42.9		32.6		37.0		100.0		85.7		95.2		35.7		0.11		0.01		41.4		36.7		38.7		40.7		36.7		38.4		42.2		36.4		39.0		42.6		33.2		37.6		ste
2023	1	20	28.3		14.7		290.2		3.1		33.8		29.1		31.3		92.2		74.5		84.8		27.2		0.00		0.02		39.6		35.3		37.2		40.0		35.8		37.7		39.0		34.4		36.5		37.6		31.8		33.8		ste
2023	1	21	15.2		7.1		215.4		3.5		31.7		27.6		29.8		91.9		81.7		86.4		26.3		0.00		0.02		38.7		34.3		36.3		38.8		35.1		36.8		37.4		33.8		35.3		34.9		31.5		32.9		ste
2023	1	22	17.8		6.2		223.3		3.1		33.8		28.7		31.1		97.6		85.9		92.5		29.1		0.01		0.02		39.5		34.4		36.6		38.9		34.9		36.7		37.9		33.7		35.4		37.6		31.5		33.5		ste
2023	1	23	22.1		12.0		268.3		6.8		34.9		24.3		28.3		97.2		74.2		88.2		25.2		0.00		0.03		38.5		34.0		35.9		38.7		34.8		36.4		37.2		33.6		35.1		35.6		30.4		32.9		ste
2023	1	24	17.3		6.3		223.2		1.6		32.3		30.0		31.0		97.9		87.3		93.2		29.2		0.00		0.01		37.4		33.5		35.2		37.7		34.2		35.7		36.8		33.4		34.9		34.6		31.4		32.7		ste
2023	1	25	19.4		11.1		204.4		5.8		33.0		30.7		31.7		100.0		95.2		98.5		31.3		0.24		0.02		37.5		34.0		35.5		37.6		34.3		35.7		36.6		33.4		34.7		34.6		31.4		32.7		ste
2023	1	26	26.9		17.3		271.0		5.4		31.1		8.3		20.1		98.3		79.8		89.3		17.5		0.01		0.02		37.5		33.2		35.1		37.6		33.9		35.6		36.5		33.3		34.7		34.5		31.4		32.7		ste
2023	1	27	31.5		15.6		218.6		5.3		36.0		3.9		23.7		97.3		79.2		87.2		20.4		0.01		0.02		36.1		32.4		34.0		36.8		33.1		34.7		36.5		33.2		34.6		34.5		31.3		32.6		ste
2023	1	28	18.8		7.4		108.8		7.9		33.5		18.4		26.9		94.4		77.2		84.7		22.9		0.01		0.03		35.6		32.3		33.7		36.1		32.8		34.2		36.4		33.2		34.5		34.4		31.2		32.6		ste
2023	1	29	17.2		8.2		284.5		4.5		30.8		19.2		25.5		98.6		83.5		91.7		23.4		0.02		0.02		35.5		32.3		33.7		35.9		32.8		34.1		36.3		33.2		34.5		34.5		31.2		32.6		ste
2023	1	30	23.0		12.8		332.9		5.3		19.4		3.6		12.0		88.7		61.4		74.3		5.4		0.00		0.02		35.5		31.8		33.4		35.8		32.4		33.9		36.2		32.9		34.4		34.2		30.5		32.3		ste
2023	1	31	15.3		6.2		306.4		12.0		13.1		0.5		5.8		84.8		52.9		72.8		-1.1		0.00		0.03		34.5		30.9		32.4		35.2		31.8		33.2		35.7		32.1		33.7		32.6		24.5		28.7		ste
2023	2	1	19.7		7.1		202.7		13.8		29.2		0.1		14.9		90.0		51.2		75.9		8.3		0.00		0.04		33.7		29.4		31.5		34.6		31.2		32.7		35.0		30.7		32.5		31.5		22.5		26.6		ste
2023	2	2	28.6		14.1		267.2		13.1		36.1		12.6		23.5		91.5		57.0		74.5		16.4		0.00		0.05		33.8		29.3		31.4		34.3		31.0		32.4		34.2		29.8		31.8		32.7		24.4		28.1		ste
2023	2	3	23.5		10.4		257.8		13.5		13.3		1.2		7.8		78.2		45.2		61.4		-2.8		0.00		0.03		33.3		27.7		30.3		34.1		30.8		32.2		33.8		28.1		30.4		29.3		20.8		24.7		ste
2023	2	4	32.7		17.8		188.7		12.2		44.6		9.8		28.6		80.4		52.6		68.5		19.3		0.00		0.06		33.5		27.3		30.1		33.6		30.2		31.7		34.0		26.8		29.9		33.9		21.1		27.4		ste
2023	2	5	27.3		14.0		271.4		12.4		46.9		26.9		36.6		94.1		61.9		78.3		30.4		0.00		0.06		33.9		30.5		31.9		33.8		30.5		31.9		34.7		30.8		32.6		33.9		30.6		32.0		ste
2023	2	6	27.7		12.7		157.2		10.7		46.5		20.6		34.4		98.1		54.8		80.1		28.4		0.00		0.06		34.0		30.7		32.1		33.8		30.6		31.9		34.8		31.5		32.9		34.0		30.2		31.9		ste
2023	2	7	29.1		14.4		258.1		5.1		47.6		29.7		38.9		95.0		66.4		84.0		34.4		0.00		0.04		34.1		30.8		32.3		33.9		30.6		32.0		34.8		31.6		33.0		38.1		30.7		33.4		ste
2023	2	8	18.2		5.7		164.9		6.7		39.8		21.1		32.7		99.1		64.2		85.3		28.6		0.03		0.04		34.2		31.0		32.3		34.0		30.7		32.1		34.9		31.7		33.0		35.3		30.7		32.1		ste
2023	2	9	44.2		19.6		201.4		2.0		50.4		33.5		39.4		100.0		83.7		94.6		38.0		0.56		0.01		34.3		31.0		32.4		34.1		30.8		32.3		37.5		31.7		34.3		40.7		32.0		35.6		ste
2023	2	10	21.4		11.3		304.5		13.4		38.9		23.9		32.9		95.2		54.0		82.3		27.9		0.00		0.05		35.1		31.1		32.6		34.2		31.0		32.4		42.4		33.1		36.7		45.1		31.1		35.6		ste
2023	2	11	13.7		5.7		237.5		15.6		44.3		20.0		30.5		94.8		42.2		75.8		23.1		0.00		0.07		35.0		31.2		32.8		34.6		31.1		32.6		40.3		33.4		36.1		39.9		31.1		33.5		ste
2023	2	12	16.6		6.3		219.5		15.3		51.7		21.9		35.4		91.3		31.0		70.8		25.7		0.00		0.08		36.7		31.7		33.6		35.4		31.6		33.2		42.2		33.2		36.6		44.3		31.0		34.5		ste
